timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
2020-09-20,11080.64,11080.64,11046.54,11047.4,11080.64,11080.64,11046.54,11047.4,811.458671,811.458671
2020-09-19,10933.4,11179.79,10887.37,11080.65,10933.4,11179.79,10887.37,11080.65,38440.036858,38440.036858
2020-09-18,10940.0,11038.03,10812.84,10933.39,10940.0,11038.03,10812.84,10933.39,47266.728275,47266.728275
2020-09-17,10954.01,11045.46,10745.83,10939.99,10954.01,11045.46,10745.83,10939.99,55601.614529,55601.614529
2020-09-16,10785.23,11093.0,10661.22,10954.01,10785.23,11093.0,10661.22,10954.01,64991.51244,64991.51244
2020-09-15,10671.77,10930.04,10606.48,10785.31,10671.77,10930.04,10606.48,10785.31,61822.452786,61822.452786
2020-09-14,10332.84,10750.0,10212.34,10671.77,10332.84,10750.0,10212.34,10671.77,67059.291361,67059.291361
2020-09-13,10440.67,10580.11,10200.0,10332.83,10440.67,10580.11,10200.0,10332.83,43837.609865,43837.609865
2020-09-12,10387.89,10477.97,10269.25,10440.92,10387.89,10477.97,10269.25,10440.92,35379.153096,35379.153096
2020-09-11,10336.86,10397.6,10200.0,10387.89,10336.86,10397.6,10200.0,10387.89,43830.254467,43830.254467
2020-09-10,10219.29,10483.35,10070.83,10336.87,10219.29,10483.35,10070.83,10336.87,58253.75375,58253.75375
2020-09-09,10126.66,10343.0,9981.01,10219.2,10126.66,10343.0,9981.01,10219.2,49347.113776,49347.113776
2020-09-08,10373.45,10438.0,9850.0,10126.65,10373.45,10438.0,9850.0,10126.65,73491.878418,73491.878418
2020-09-07,10255.89,10410.75,9875.0,10373.44,10255.89,10410.75,9875.0,10373.44,62620.230676,62620.230676
2020-09-06,10166.69,10347.14,9994.86,10256.2,10166.69,10347.14,9994.86,10256.2,56368.788815,56368.788815
2020-09-05,10446.25,10565.68,9825.0,10166.69,10446.25,10565.68,9825.0,10166.69,90001.605568,90001.605568
2020-09-04,10138.29,10627.05,9875.5,10446.25,10138.29,10627.05,9875.5,10446.25,92733.599113,92733.599113
2020-09-03,11388.54,11462.6,9960.8,10140.85,11388.54,11462.6,9960.8,10140.85,121950.106015,121950.106015
2020-09-02,11921.97,11954.57,11160.1,11388.54,11921.97,11954.57,11160.1,11388.54,87221.845602,87221.845602
2020-09-01,11649.51,12050.85,11515.0,11921.97,11649.51,12050.85,11515.0,11921.97,78148.193668,78148.193668
2020-08-31,11711.17,11800.77,11570.0,11649.51,11711.17,11800.77,11570.0,11649.51,55353.617744,55353.617744
2020-08-30,11465.84,11719.0,11458.0,11711.16,11465.84,11719.0,11458.0,11711.16,43177.879054,43177.879054
2020-08-29,11526.9,11580.02,11417.04,11465.84,11526.9,11580.02,11417.04,11465.84,32973.7992,32973.7992
2020-08-28,11330.38,11542.65,11276.89,11526.91,11330.38,11542.65,11276.89,11526.91,45953.908365,45953.908365
2020-08-27,11461.42,11592.2,11125.0,11330.38,11461.42,11592.2,11125.0,11330.38,63246.036383,63246.036383
2020-08-26,11318.42,11539.32,11244.0,11461.43,11318.42,11539.32,11244.0,11461.43,53998.231231,53998.231231
2020-08-25,11748.19,11767.85,11117.64,11318.42,11748.19,11767.85,11117.64,11318.42,69590.923272,69590.923272
2020-08-24,11648.12,11824.9,11585.09,11748.2,11648.12,11824.9,11585.09,11748.2,46212.391867,46212.391867
2020-08-23,11663.51,11718.07,11514.13,11648.13,11663.51,11718.07,11514.13,11648.13,37900.00469,37900.00469
2020-08-22,11531.23,11686.0,11376.81,11662.96,11531.23,11686.0,11376.81,11662.96,43678.701646,43678.701646
2020-08-21,11853.54,11878.0,11485.81,11531.34,11853.54,11878.0,11485.81,11531.34,64448.306142,64448.306142
2020-08-20,11754.38,11888.0,11668.0,11853.55,11754.38,11888.0,11668.0,11853.55,46085.254351,46085.254351
2020-08-19,11945.1,12020.08,11561.0,11754.59,11945.1,12020.08,11561.0,11754.59,73940.169606,73940.169606
2020-08-18,12281.15,12387.77,11817.93,11945.01,12281.15,12387.77,11817.93,11945.01,75923.835527,75923.835527
2020-08-17,11910.99,12468.0,11769.78,12281.13,11910.99,12468.0,11769.78,12281.13,84734.21154,84734.21154
2020-08-16,11852.4,11931.72,11686.0,11911.0,11852.4,11931.72,11686.0,11911.0,41368.236906,41368.236906
2020-08-15,11760.55,11980.0,11680.0,11852.4,11760.55,11980.0,11680.0,11852.4,56237.90505,56237.90505
2020-08-14,11779.77,11850.0,11634.03,11760.54,11779.77,11850.0,11634.03,11760.54,59818.852697,59818.852697
2020-08-13,11564.34,11792.96,11270.36,11780.0,11564.34,11792.96,11270.36,11780.0,70132.491502,70132.491502
2020-08-12,11392.09,11617.52,11150.0,11564.33,11392.09,11617.52,11150.0,11564.33,64909.613644,64909.613644
2020-08-11,11892.9,11935.0,11125.0,11392.08,11892.9,11935.0,11125.0,11392.08,90748.284634,90748.284634
2020-08-10,11681.69,12067.35,11450.0,11892.92,11681.69,12067.35,11450.0,11892.92,84952.337887,84952.337887
2020-08-09,11761.02,11797.11,11521.97,11681.68,11761.02,11797.11,11521.97,11681.68,41493.067342,41493.067342
2020-08-08,11594.36,11808.27,11512.0,11761.41,11594.36,11808.27,11512.0,11761.41,41858.16104,41858.16104
2020-08-07,11762.47,11909.94,11322.0,11594.23,11762.47,11909.94,11322.0,11594.23,65755.926022,65755.926022
2020-08-06,11744.91,11900.0,11562.5,11762.46,11744.91,11900.0,11562.5,11762.46,63529.08502,63529.08502
2020-08-05,11191.99,11780.93,11093.0,11744.91,11191.99,11780.93,11093.0,11744.91,74970.256852,74970.256852
2020-08-04,11219.68,11414.98,11000.0,11191.97,11219.68,11414.98,11000.0,11191.97,58629.113709,58629.113709
2020-08-03,11071.36,11473.0,10936.0,11219.81,11071.36,11473.0,10936.0,11219.81,56931.841475,56931.841475
2020-08-02,11801.17,12123.46,10518.5,11071.35,11801.17,12123.46,10518.5,11071.35,97553.077604,97553.077604
2020-08-01,11335.46,11861.0,11220.0,11801.17,11335.46,11861.0,11220.0,11801.17,85087.485126,85087.485126
2020-07-31,11099.79,11444.0,10960.0,11335.46,11099.79,11444.0,10960.0,11335.46,70063.660974,70063.660974
2020-07-30,11100.52,11170.0,10831.0,11099.61,11100.52,11170.0,10831.0,11099.61,60794.826456,60794.826456
2020-07-29,10906.27,11342.82,10812.0,11100.53,10906.27,11342.82,10812.0,11100.53,76838.094233,76838.094233
2020-07-28,11029.96,11242.23,10565.0,10906.27,11029.96,11242.23,10565.0,10906.27,97267.734187,97267.734187
2020-07-27,9931.54,11394.86,9917.21,11029.96,9931.54,11394.86,9917.21,11029.96,150188.933144,150188.933144
2020-07-26,9700.42,10111.0,9650.0,9931.54,9700.42,10111.0,9650.0,9931.54,65279.269319,65279.269319
2020-07-25,9538.1,9732.9,9513.0,9700.42,9538.1,9732.9,9513.0,9700.42,40679.545416,40679.545416
2020-07-24,9603.27,9637.0,9463.44,9537.8,9603.27,9637.0,9463.44,9537.8,43931.136205,43931.136205
2020-07-23,9518.16,9664.0,9440.33,9603.27,9518.16,9664.0,9440.33,9603.27,51856.2335,51856.2335
2020-07-22,9390.0,9544.0,9261.0,9518.16,9390.0,9544.0,9261.0,9518.16,48815.004107,48815.004107
2020-07-21,9160.78,9437.73,9152.8,9390.0,9160.78,9437.73,9152.8,9390.0,60413.582486,60413.582486
2020-07-20,9208.99,9221.52,9131.0,9160.78,9208.99,9221.52,9131.0,9160.78,35458.764082,35458.764082
2020-07-19,9170.3,9232.27,9101.35,9208.99,9170.3,9232.27,9101.35,9208.99,26052.019417,26052.019417
2020-07-18,9154.31,9219.3,9121.1,9170.28,9154.31,9219.3,9121.1,9170.28,22554.541457,22554.541457
