fullVisitorId,transactionId,lon,lat
10000560693664842529,s9xv-dymt,-79.3123031,43.6839641
1000147721825530969,s3at-lg5i,-79.379904799999991,43.6712624
10001873732113153669,s1hw-f2e9,-73.5819608,45.4939676
10004032725187725439,s7fo-fhbp,-123.1077767,49.2676673
10004110598267504812,s6yo-t703,-123.2553608,49.2606652
10004110598267504812,s6yo-eqcp,-123.2553608,49.2606652
10004315496910362059,s7av-n5va,-123.1315308,49.2768131
10004361915327945582,s9it-crw0,-79.3835773,43.6462284
10004361915327945582,s3lq-7tmb,-79.3835773,43.6462284
10004361915327945582,s9it-6bby,-79.3835773,43.6462284
10004361915327945582,s9it-tdw4,-79.3835773,43.6462284
10004361915327945582,s9it-qo7x,-79.3835773,43.6462284
10004361915327945582,s2ui-es5f,-79.3835773,43.6462284
10004361915327945582,s8kx-9ly1,-79.3835773,43.6462284
10004498231716653634,v0ye-3bs2,-79.3844795,43.6685778
10004498231716653634,s3bw-ndtv,-79.3844795,43.6685778
10004926656752874258,s2gg-l347,-79.38438416,43.66211319
10004926656752874258,s9go-gtly,-79.32741089999999,43.6619128
10004926656752874258,s8my-0vro,-79.32678223,43.66049957
1000656423014751440,s1fs-hpj5,-79.3990598,43.6448637
1000656423014751440,s9ns-5pff,-79.3990598,43.6448637
10007566348242191224,s2ot-lppt,-79.40312195,43.63623428
10008948186125601254,s5rp-k3zi,-79.4475781,43.6656823
10009596429722503208,s9pp-qeqh,-79.3553724,43.6569834
10010071296932783414,s3va-s5dq,-123.097836,49.2737759
10010448225232924455,s1az-gjfz,-79.4250977,43.6372868
10010877533444840350,s3qx-1ht7,-79.3831159,43.6648551
10010877533444840350,o2lp-jbax,-79.3831159,43.6648551
10010983285437030456,s7sz-7ggi,-79.3897577,43.6552832
10010983285437030456,s7sz-mx79,-79.3897577,43.6552832
10010983285437030456,s7sz-sj8c,-79.3897577,43.6552832
10011349392788302018,s0pc-tp2l,-79.4155725,43.777401
10013535588065552519,s1fe-2qgp,-79.4144482,43.6383993
10014526158660310955,s8rb-9gi0,-73.6345304,45.5479825
10014635942976832459,s7vk-946v,-123.12586975,49.27579117
10015402837179732186,s3au-tfp8,-73.5720062,45.5376364
10015413644050743546,s6wd-d1b0,-79.4162418,43.6387639
10015427826758756610,s4uk-o144,-123.1020138,49.271003
10015427826758756610,s4uk-uj6m,-123.1020138,49.271003
10016099026049880039,s1sh-a2o6,-122.9925912,49.225892
10016099026049880039,s8pq-l0q6,-123.0397999,49.2749646
10016099026049880039,s8pq-k16h,-123.0397999,49.2749646
10016099026049880039,s1mj-i3zb,-123.0397999,49.2749646
